,Gemeinde,Energiequelle,Anzahl
0,Zürich,Gas,21618
1,Zürich,Keine,14204
2,Zürich,Heizöl,12647
3,Zürich,Weitere,12311
4,Basel,Weitere,10905
5,Winterthur,Unbestimmt,10902
6,Bellinzona,Unbestimmt,8747
7,Basel,Gas,8614
8,Bern,Gas,7397
9,Bern,Unbestimmt,6651
10,Winterthur,Heizöl,6487
11,Bern,Heizöl,5964
12,Bellinzona,Heizöl,5944
13,Winterthur,Gas,5824
14,St. Gallen,Unbestimmt,5647
15,Lugano,Heizöl,5438
16,Thun,Unbestimmt,5099
17,Glarus Süd,Unbestimmt,4922
18,Lugano,Unbestimmt,4755
19,Luzern,Gas,4754
20,St. Gallen,Gas,4691
21,Glarus Nord,Unbestimmt,4501
22,Biel/Bienne,Gas,4407
23,Neuchâtel,Unbestimmt,4274
24,Lausanne,Unbestimmt,4221
25,Köniz,Unbestimmt,4057
26,Genève,Heizöl,3975
27,La Chaux-de-Fonds,Unbestimmt,3938
28,Genève,Gas,3935
29,Lausanne,Gas,3893
30,Lausanne,Heizöl,3790
31,Schaffhausen,Unbestimmt,3774
32,St. Gallen,Heizöl,3732
33,Köniz,Weitere,3577
34,Schaffhausen,Gas,3540
35,Neckertal,Unbestimmt,3517
36,Muttenz,Keine,3472
37,Thun,Gas,3453
38,Thun,Heizöl,3421
39,Luzern,Unbestimmt,3387
40,Uster,Gas,3233
41,Uster,Unbestimmt,3136
42,Rapperswil-Jona,Unbestimmt,3106
43,Wädenswil,Unbestimmt,3083
44,Glarus,Unbestimmt,3081
45,Saanen,Unbestimmt,3067
46,Sion,Gas,3051
47,Anniviers,Unbestimmt,3019
48,Eschenbach (SG),Unbestimmt,3017
49,Frauenfeld,Unbestimmt,3003
50,Spiez,Unbestimmt,2905
51,Einsiedeln,Unbestimmt,2870
52,Horgen,Unbestimmt,2833
53,Davos,Unbestimmt,2810
54,Aarau,Unbestimmt,2794
55,Luzern,Heizöl,2774
56,Gibloux,Unbestimmt,2733
57,Schwarzenburg,Unbestimmt,2715
58,Steffisburg,Unbestimmt,2713
59,Glarus Nord,Heizöl,2712
60,Maggia,Unbestimmt,2709
61,Frutigen,Unbestimmt,2707
62,Neuchâtel,Gas,2696
63,Mels,Unbestimmt,2691
64,Grindelwald,Unbestimmt,2673
65,Basel,Keine,2673
66,Estavayer,Unbestimmt,2665
67,Oberriet (SG),Unbestimmt,2654
68,Val de Bagnes,Elektrizität,2653
69,Tafers,Unbestimmt,2634
70,Neuchâtel,Heizöl,2622
71,Chur,Gas,2619
72,Klosters,Unbestimmt,2616
73,Serravalle,Unbestimmt,2603
74,Köniz,Heizöl,2591
75,Altstätten,Unbestimmt,2585
76,Murten,Unbestimmt,2581
77,Mendrisio,Heizöl,2569
78,Nesslau,Unbestimmt,2562
79,Kriens,Unbestimmt,2562
80,Mendrisio,Unbestimmt,2560
81,Pratteln,Keine,2526
82,Dübendorf,Unbestimmt,2517
83,Schwyz,Unbestimmt,2491
84,Bulle,Unbestimmt,2487
85,Wetzikon (ZH),Unbestimmt,2442
86,Glarus Süd,Weitere,2441
87,Capriasca,Unbestimmt,2433
88,Haute-Sorne,Unbestimmt,2429
89,Oftringen,Unbestimmt,2429
90,Gossau (SG),Unbestimmt,2400
91,Lugano,Gas,2399
92,Rothrist,Unbestimmt,2395
93,Willisau,Unbestimmt,2392
94,Düdingen,Unbestimmt,2392
95,Fribourg,Unbestimmt,2375
96,Langnau im Emmental,Unbestimmt,2352
97,Schaffhausen,Heizöl,2345
98,Wattwil,Unbestimmt,2337
99,Biel/Bienne,Heizöl,2330
100,Gossau (ZH),Unbestimmt,2323
101,Frauenfeld,Gas,2320
102,Muttenz,Gas,2317
103,Yverdon-les-Bains,Unbestimmt,2312
104,Gambarogno,Unbestimmt,2311
105,Escholzmatt-Marbach,Unbestimmt,2308
106,Herisau,Unbestimmt,2303
107,Reinach (BL),Keine,2302
108,Allschwil,Gas,2300
109,Wohlen (AG),Unbestimmt,2290
110,Genève,Unbestimmt,2284
111,Illnau-Effretikon,Unbestimmt,2282
112,Conthey,Unbestimmt,2277
113,Wildhaus-Alt St. Johann,Unbestimmt,2275
114,Reinach (BL),Gas,2249
115,Savièse,Unbestimmt,2232
116,Liestal,Keine,2220
117,Grabs,Unbestimmt,2211
118,Langenthal,Gas,2210
119,Wettingen,Heizöl,2203
120,Solothurn,Gas,2201
121,Sigriswil,Unbestimmt,2192
122,Lausanne,Weitere,2151
123,Münchenstein,Keine,2145
124,Lauterbrunnen,Unbestimmt,2138
125,Arth,Unbestimmt,2130
126,Ebnat-Kappel,Unbestimmt,2128
127,Spiez,Heizöl,2122
128,Allschwil,Keine,2115
129,Ollon,Unbestimmt,2115
130,Le Locle,Unbestimmt,2114
131,Ruswil,Unbestimmt,2094
132,Baden,Unbestimmt,2087
133,Wohlen bei Bern,Unbestimmt,2087
134,Kirchberg (SG),Unbestimmt,2073
135,Wiesendangen,Unbestimmt,2047
136,Amriswil,Unbestimmt,2041
137,Basel,Heizöl,2034
138,La Chaux-de-Fonds,Heizöl,2032
139,Riehen,Weitere,2032
140,Olten,Gas,2027
141,Sennwald,Unbestimmt,2024
142,Bülach,Unbestimmt,2015
143,Küssnacht (SZ),Unbestimmt,2000
144,Riviera,Unbestimmt,1997
145,Riehen,Gas,1989
146,Oberwil (BL),Keine,1985
147,Horw,Unbestimmt,1980
148,Wald (ZH),Unbestimmt,1978
149,Plaffeien,Unbestimmt,1973
150,Worb,Unbestimmt,1970
151,Hinwil,Unbestimmt,1970
152,Bellinzona,Elektrizität,1968
153,Emmen,Heizöl,1965
154,Montreux,Unbestimmt,1962
155,Zug,Unbestimmt,1958
156,St. Gallen,Weitere,1956
157,Wettingen,Unbestimmt,1945
158,Courtepin,Unbestimmt,1937
159,Zurzach,Unbestimmt,1936
160,Küsnacht (ZH),Unbestimmt,1933
161,Rapperswil-Jona,Gas,1930
162,Kreuzlingen,Unbestimmt,1928
163,Bex,Unbestimmt,1927
164,Uzwil,Unbestimmt,1921
165,Lyss,Unbestimmt,1921
166,Davos,Heizöl,1912
167,Verzasca,Unbestimmt,1897
168,Montreux,Gas,1891
169,Grenchen,Gas,1884
170,Gränichen,Unbestimmt,1883
171,Flums,Unbestimmt,1880
172,Biasca,Unbestimmt,1879
173,Biel/Bienne,Keine,1879
174,Bauma,Unbestimmt,1876
175,Einsiedeln,Heizöl,1866
176,Sumiswald,Unbestimmt,1866
177,Stäfa,Unbestimmt,1856
178,Winterthur,Weitere,1854
179,Glarus,Heizöl,1853
180,Yverdon-les-Bains,Gas,1851
181,Volketswil,Unbestimmt,1840
182,Malters,Unbestimmt,1834
183,Faido,Unbestimmt,1834
184,Burgdorf,Unbestimmt,1827
185,Blonay - Saint-Légier,Unbestimmt,1822
186,Beromünster,Unbestimmt,1821
187,Sierre,Gas,1821
188,Münsingen,Unbestimmt,1819
189,Zofingen,Unbestimmt,1817
190,Monteceneri,Unbestimmt,1816
191,Belmont-Broye,Unbestimmt,1816
192,Saanen,Heizöl,1810
193,Gommiswald,Unbestimmt,1806
194,Fribourg,Gas,1802
195,Veyrier,Unbestimmt,1801
196,Aarau,Heizöl,1798
197,Belp,Unbestimmt,1796
198,Möhlin,Unbestimmt,1796
199,Binningen,Keine,1796
200,Flawil,Unbestimmt,1778
201,Kerns,Unbestimmt,1774
202,Meiringen,Unbestimmt,1770
203,Meilen,Unbestimmt,1763
204,Buchs (SG),Unbestimmt,1759
205,Gurmels,Unbestimmt,1755
206,Bellinzona,Weitere,1754
207,Binningen,Gas,1753
208,Zweisimmen,Unbestimmt,1736
209,Wil (SG),Heizöl,1736
210,Widnau,Unbestimmt,1730
211,Brienz (BE),Unbestimmt,1730
212,Münchenstein,Gas,1727
213,Bäretswil,Unbestimmt,1717
214,Reinach (AG),Unbestimmt,1699
215,Maur,Unbestimmt,1690
216,Acquarossa,Unbestimmt,1682
217,Blonay - Saint-Légier,Gas,1679
218,Romanshorn,Unbestimmt,1677
219,Menziken,Unbestimmt,1675
220,Aadorf,Unbestimmt,1670
221,Val-de-Ruz,Heizöl,1668
222,Mosnang,Unbestimmt,1666
223,Hombrechtikon,Unbestimmt,1665
224,Burgdorf,Gas,1665
225,Langenthal,Unbestimmt,1663
226,Baar,Unbestimmt,1659
227,Bern,Weitere,1659
228,Illnau-Effretikon,Heizöl,1656
229,Breil/Brigels,Unbestimmt,1651
230,Frauenfeld,Heizöl,1650
231,Villmergen,Unbestimmt,1650
232,Kloten,Heizöl,1640
233,Neftenbach,Unbestimmt,1635
234,Kriens,Heizöl,1635
235,Lützelflüh,Unbestimmt,1629
236,Wil (SG),Unbestimmt,1629
237,Château-d'Oex,Unbestimmt,1627
238,Châtel-Saint-Denis,Unbestimmt,1622
239,Sarnen,Unbestimmt,1608
240,Nendaz,Elektrizität,1606
241,Baden,Heizöl,1599
242,Aesch (BL),Keine,1599
243,Delémont,Unbestimmt,1597
244,Reinach (BL),Heizöl,1595
245,Wartau,Unbestimmt,1583
246,Seuzach,Unbestimmt,1583
247,Capriasca,Heizöl,1583
248,Mont-Vully,Unbestimmt,1581
249,Schwyz,Heizöl,1580
250,Baar,Heizöl,1576
251,Altstätten,Weitere,1572
252,Regensdorf,Unbestimmt,1567
253,Gambarogno,Heizöl,1563
254,Blenio,Unbestimmt,1563
255,Thal,Unbestimmt,1557
256,Reiden,Unbestimmt,1555
257,Dietikon,Unbestimmt,1554
258,Fraubrunnen,Unbestimmt,1550
259,Anniviers,Elektrizität,1549
260,Chalais,Unbestimmt,1541
261,Ollon,Gas,1540
262,Sins,Unbestimmt,1537
263,Lavizzara,Unbestimmt,1532
264,Wohlen (AG),Gas,1532
265,Wetzikon (ZH),Gas,1529
266,Val de Bagnes,Weitere,1527
267,Dagmersellen,Unbestimmt,1526
268,Glarus Süd,Heizöl,1519
269,Münsingen,Heizöl,1519
270,Marly,Unbestimmt,1517
271,Walenstadt,Unbestimmt,1515
272,Schüpfheim,Unbestimmt,1512
273,Wädenswil,Heizöl,1510
274,Altdorf (UR),Unbestimmt,1506
275,Wil (SG),Gas,1500
276,Hochdorf,Unbestimmt,1499
277,Cham,Unbestimmt,1498
278,Bütschwil-Ganterschwil,Unbestimmt,1498
279,Innertkirchen,Unbestimmt,1498
280,Schwende-Rüte,Keine,1495
281,Steffisburg,Heizöl,1493
282,Collonge-Bellerive,Unbestimmt,1492
283,Entlebuch,Unbestimmt,1491
284,Egg,Unbestimmt,1490
285,Aarau,Gas,1485
286,Uzwil,Gas,1484
287,Herzogenbuchsee,Unbestimmt,1479
288,Reichenbach im Kandertal,Unbestimmt,1478
289,Adelboden,Unbestimmt,1474
290,Riehen,Keine,1470
291,Niederhasli,Unbestimmt,1469
292,Le Mouret,Unbestimmt,1467
293,Chur,Heizöl,1466
294,Weinfelden,Unbestimmt,1466
295,Silenen,Unbestimmt,1466
296,Boltigen,Unbestimmt,1461
297,Dübendorf,Gas,1461
298,Payerne,Unbestimmt,1461
299,Solothurn,Unbestimmt,1459
300,Rothenburg,Unbestimmt,1451
301,Pratteln,Gas,1451
302,Zug,Heizöl,1446
303,Hitzkirch,Unbestimmt,1445
304,Val-de-Charmey,Unbestimmt,1441
305,Affoltern am Albis,Unbestimmt,1441
306,Kreuzlingen,Heizöl,1439
307,Locarno,Unbestimmt,1434
308,Dübendorf,Heizöl,1432
309,Eggiwil,Unbestimmt,1426
310,Maur,Heizöl,1425
311,Triengen,Unbestimmt,1420
312,Diepoldsau,Unbestimmt,1417
313,Porrentruy,Unbestimmt,1416
314,Milvignes,Unbestimmt,1414
315,Val Terbi,Unbestimmt,1407
316,Rheinfelden,Unbestimmt,1403
317,Diemtigen,Unbestimmt,1403
318,Bubikon,Unbestimmt,1400
319,Saanen,Weitere,1399
320,Küsnacht (ZH),Heizöl,1397
321,Worb,Heizöl,1394
322,Muri bei Bern,Unbestimmt,1391
323,Suhr,Unbestimmt,1389
324,Quarten,Unbestimmt,1386
325,Hasliberg,Unbestimmt,1384
326,Goms,Unbestimmt,1380
327,Therwil,Keine,1380
328,Grabs,Weitere,1376
329,Biberist,Unbestimmt,1374
330,Vilters-Wangs,Unbestimmt,1373
331,Bulle,Heizöl,1371
332,Möhlin,Heizöl,1369
333,Uetendorf,Unbestimmt,1367
334,Bassersdorf,Unbestimmt,1367
335,Lenzburg,Unbestimmt,1367
336,Wädenswil,Gas,1364
337,Egnach,Unbestimmt,1364
338,Bülach,Heizöl,1363
339,Oberwil (BL),Gas,1363
340,Thayngen,Unbestimmt,1361
341,Glarus Nord,Weitere,1359
342,Zürich,Unbestimmt,1355
343,Sevelen,Unbestimmt,1355
344,Niederbipp,Unbestimmt,1354
345,Vechigen,Unbestimmt,1354
346,Sissach,Keine,1352
347,Glarus Süd,Keine,1351
348,Russikon,Unbestimmt,1349
349,Muri (AG),Unbestimmt,1349
350,Dürnten,Unbestimmt,1342
351,Schänis,Unbestimmt,1342
352,Neuenkirch,Unbestimmt,1338
353,Oberuzwil,Unbestimmt,1337
354,Vernier,Gas,1337
355,Neckertal,Weitere,1330
356,Herisau,Gas,1326
357,Hasle bei Burgdorf,Unbestimmt,1326
358,Lugano,Elektrizität,1323
359,Centovalli,Unbestimmt,1320
360,Oberriet (SG),Heizöl,1319
361,Wünnewil-Flamatt,Unbestimmt,1318
362,Teufen (AR),Unbestimmt,1317
363,Ebikon,Unbestimmt,1316
364,Vernier,Unbestimmt,1314
365,Vully-les-Lacs,Unbestimmt,1313
366,Reinach (AG),Heizöl,1312
367,Lutry,Unbestimmt,1310
368,Gams,Unbestimmt,1310
369,Moutier,Unbestimmt,1309
370,Oberentfelden,Unbestimmt,1303
371,Val-de-Travers,Heizöl,1301
372,Liestal,Gas,1301
373,Huttwil,Unbestimmt,1301
374,Moutier,Heizöl,1296
375,Zug,Gas,1294
376,Arlesheim,Keine,1291
377,Ostermundigen,Unbestimmt,1290
378,Kölliken,Unbestimmt,1289
379,Kreuzlingen,Gas,1287
380,Bremgarten (AG),Unbestimmt,1285
381,Belp,Heizöl,1285
382,Luzern,Keine,1285
383,Hinwil,Heizöl,1284
384,La Grande Béroche,Heizöl,1282
385,Weinfelden,Gas,1280
386,Locarno,Heizöl,1277
387,Klosters,Heizöl,1277
388,Wohlen (AG),Heizöl,1277
389,Brig-Glis,Heizöl,1276
390,Richterswil,Unbestimmt,1273
391,Buchs (AG),Unbestimmt,1267
392,La Chaux-de-Fonds,Gas,1265
393,Schübelbach,Unbestimmt,1263
394,Buchs (SG),Weitere,1262
395,Sursee,Unbestimmt,1262
396,Schmitten (FR),Unbestimmt,1260
397,Weggis,Unbestimmt,1260
398,Haute-Sorne,Heizöl,1257
399,Giswil,Keine,1253
400,Freienbach,Heizöl,1251
401,Balsthal,Unbestimmt,1250
402,Montreux,Heizöl,1249
403,Bourg-en-Lavaux,Unbestimmt,1248
404,Biel/Bienne,Unbestimmt,1248
405,Meggen,Unbestimmt,1247
406,Lyss,Heizöl,1247
407,Thônex,Unbestimmt,1246
408,Luzein,Unbestimmt,1245
409,Kloten,Unbestimmt,1244
410,Seon,Unbestimmt,1241
411,Konolfingen,Unbestimmt,1240
412,Küttigen,Unbestimmt,1238
413,Kerzers,Unbestimmt,1238
414,Au (SG),Unbestimmt,1237
415,Oberdiessbach,Unbestimmt,1237
416,Zollikofen,Unbestimmt,1236
417,Zollikon,Heizöl,1234
418,Regensdorf,Heizöl,1234
419,Adelboden,Heizöl,1233
420,Muri bei Bern,Heizöl,1232
421,Bulle,Weitere,1232
422,Rüti (ZH),Unbestimmt,1232
423,Rapperswil-Jona,Heizöl,1230
424,Savièse,Heizöl,1229
425,Pfäffikon,Heizöl,1229
426,Bassersdorf,Heizöl,1222
427,Grindelwald,Heizöl,1221
428,Rümlang,Unbestimmt,1221
429,Böztal,Unbestimmt,1215
430,Epalinges,Unbestimmt,1213
431,Val de Bagnes,Heizöl,1209
432,Wittenbach,Unbestimmt,1208
433,Embrach,Unbestimmt,1207
434,Altstätten,Heizöl,1207
435,Therwil,Gas,1203
436,Schwyz,Weitere,1200
437,Zurzach,Heizöl,1200
438,Lutry,Heizöl,1200
439,Delémont,Gas,1199
440,Cheyres-Châbles,Unbestimmt,1199
441,Olten,Unbestimmt,1199
442,Guggisberg,Unbestimmt,1197
443,La Chaux-de-Fonds,Weitere,1193
444,Egg,Heizöl,1193
445,Münchenbuchsee,Unbestimmt,1192
446,Vétroz,Unbestimmt,1191
447,Adliswil,Unbestimmt,1189
448,Riggisberg,Unbestimmt,1188
449,Glattfelden,Unbestimmt,1188
450,Erstfeld,Unbestimmt,1185
451,Hünenberg,Unbestimmt,1185
452,Neuenegg,Unbestimmt,1184
453,Val-de-Ruz,Gas,1183
454,Aesch (BL),Gas,1183
455,Gränichen,Heizöl,1181
456,Crans-Montana,Heizöl,1181
457,Münchenbuchsee,Heizöl,1179
458,Flühli,Unbestimmt,1176
459,Bolligen,Unbestimmt,1175
460,Utzenstorf,Unbestimmt,1172
461,Dottikon,Unbestimmt,1171
462,Laufen,Keine,1169
463,Fällanden,Unbestimmt,1168
464,Herisau,Heizöl,1168
465,Nendaz,Heizöl,1167
466,Veyrier,Heizöl,1166
467,Stäfa,Gas,1166
468,Conthey,Weitere,1163
469,Lancy,Gas,1163
470,Oron,Unbestimmt,1162
471,Brittnau,Unbestimmt,1162
472,Rothrist,Heizöl,1159
473,Zell (ZH),Unbestimmt,1159
474,Richterswil,Gas,1158
475,Heimberg,Unbestimmt,1157
476,Frick,Unbestimmt,1156
477,Altendorf,Unbestimmt,1156
478,Meilen,Heizöl,1154
479,Goldach,Unbestimmt,1152
480,Nürensdorf,Unbestimmt,1151
481,Uster,Heizöl,1149
482,Arlesheim,Gas,1149
483,Crans-Montana,Gas,1149
484,Visperterminen,Unbestimmt,1149
485,Liestal,Weitere,1148
486,Turbenthal,Unbestimmt,1147
487,Fribourg,Heizöl,1147
488,Chêne-Bougeries,Unbestimmt,1146
489,Gelterkinden,Keine,1145
490,Arbon,Heizöl,1145
491,Aigle,Unbestimmt,1145
492,Gambarogno,Elektrizität,1144
493,Küssnacht (SZ),Heizöl,1144
494,Le Chenit,Unbestimmt,1143
495,Aarburg,Unbestimmt,1142
496,Le Mont-sur-Lausanne,Unbestimmt,1141
497,Tresa,Unbestimmt,1141
498,Horgen,Heizöl,1140
499,Obfelden,Unbestimmt,1139
500,Wallisellen,Unbestimmt,1139
501,Horw,Heizöl,1138
502,Madiswil,Unbestimmt,1138
503,Bischofszell,Unbestimmt,1138
504,Schötz,Unbestimmt,1137
505,Birsfelden,Keine,1137
506,Muotathal,Unbestimmt,1135
507,Menziken,Heizöl,1135
508,Pfäffikon,Unbestimmt,1134
509,Mels,Heizöl,1131
510,Oberägeri,Unbestimmt,1128
511,Chur,Unbestimmt,1124
512,Flums,Heizöl,1123
513,Zofingen,Heizöl,1122
514,Gossau (ZH),Heizöl,1121
515,Würenlos,Unbestimmt,1120
516,Orsières,Unbestimmt,1120
517,Evolène,Unbestimmt,1118
518,Wallisellen,Gas,1118
519,Kaisten,Unbestimmt,1117
520,Safenwil,Unbestimmt,1117
521,Thalwil,Gas,1117
522,Opfikon,Unbestimmt,1112
523,Burgdorf,Heizöl,1110
524,Wängi,Unbestimmt,1110
525,Sumvitg,Unbestimmt,1110
526,Murgenthal,Unbestimmt,1107
527,Pully,Unbestimmt,1104
528,Affoltern am Albis,Heizöl,1104
529,Balsthal,Heizöl,1101
530,Lauperswil,Unbestimmt,1101
531,Fischenthal,Unbestimmt,1100
532,Brugg,Gas,1100
533,Oftringen,Heizöl,1100
534,Wetzikon (ZH),Heizöl,1100
535,Muttenz,Heizöl,1098
536,Elgg,Unbestimmt,1096
537,Beringen,Unbestimmt,1096
538,Wynigen,Unbestimmt,1094
539,Uznach,Unbestimmt,1092
540,Sion,Heizöl,1091
541,Rupperswil,Unbestimmt,1088
542,Wald (ZH),Heizöl,1087
543,Degersheim,Unbestimmt,1085
544,Minusio,Unbestimmt,1085
545,Niederhasli,Heizöl,1084
546,Haut-Intyamon,Unbestimmt,1084
547,Thalwil,Heizöl,1083
548,Arth,Heizöl,1083
549,Diepoldsau,Heizöl,1083
550,Zollikon,Unbestimmt,1082
551,Yverdon-les-Bains,Heizöl,1081
552,St. Moritz,Heizöl,1081
553,Gossau (SG),Heizöl,1080
554,Tramelan,Unbestimmt,1080
555,Ostermundigen,Heizöl,1080
556,Meyrin,Unbestimmt,1076
557,Adliswil,Heizöl,1074
558,Amden,Unbestimmt,1073
559,Ollon,Heizöl,1069
560,Kirchberg (BE),Unbestimmt,1065
561,Aarwangen,Unbestimmt,1065
562,Bösingen,Unbestimmt,1065
563,Kaltbrunn,Unbestimmt,1064
564,Mühleberg,Unbestimmt,1061
565,Beinwil am See,Unbestimmt,1061
566,Ingenbohl,Unbestimmt,1060
567,Elsau,Unbestimmt,1059
568,Seedorf (BE),Unbestimmt,1058
569,Stäfa,Heizöl,1057
570,Ardon,Unbestimmt,1057
571,Wimmis,Unbestimmt,1051
572,Faido,Weitere,1048
573,Grenchen,Heizöl,1047
574,Nyon,Gas,1047
575,Laufenburg,Unbestimmt,1045
576,Urnäsch,Unbestimmt,1044
577,Roggwil (BE),Unbestimmt,1043
578,Amriswil,Heizöl,1043
579,Vaz/Obervaz,Heizöl,1043
580,Chêne-Bougeries,Gas,1043
581,Merenschwand,Unbestimmt,1043
582,Veyrier,Gas,1043
583,Würenlos,Heizöl,1041
584,Birmensdorf (ZH),Unbestimmt,1041
585,Steffisburg,Gas,1041
586,Küsnacht (ZH),Gas,1040
587,Scuol,Keine,1039
588,Benken (SG),Unbestimmt,1039
589,Churwalden,Unbestimmt,1037
590,Dietikon,Heizöl,1036
591,Rüti (ZH),Heizöl,1035
592,Lens,Unbestimmt,1034
593,Villars-sur-Glâne,Unbestimmt,1033
594,Langnau am Albis,Unbestimmt,1033
595,Widnau,Heizöl,1032
596,Gaiserwald,Unbestimmt,1032
597,Herrliberg,Unbestimmt,1031
598,Kemmental,Unbestimmt,1029
599,Rafz,Unbestimmt,1029
600,Plan-les-Ouates,Unbestimmt,1029
601,Volketswil,Heizöl,1029
602,Unterseen,Unbestimmt,1028
603,Obersiggenthal,Unbestimmt,1027
604,Wangen-Brüttisellen,Unbestimmt,1026
605,Albula/Alvra,Unbestimmt,1026
606,Cugnasco-Gerra,Unbestimmt,1024
607,Rüegsau,Unbestimmt,1024
608,Delémont,Heizöl,1022
609,Rüschegg,Unbestimmt,1022
610,Hohenrain,Unbestimmt,1022
611,Terre di Pedemonte,Unbestimmt,1022
612,Baden,Gas,1020
613,Grosswangen,Unbestimmt,1020
614,Hägendorf,Unbestimmt,1019
615,Lindau,Unbestimmt,1019
616,Hérémence,Unbestimmt,1018
617,Risch,Unbestimmt,1018
618,Schöftland,Unbestimmt,1018
619,St. Stephan,Unbestimmt,1016
620,Ebikon,Heizöl,1015
621,Windisch,Unbestimmt,1011
622,Murten,Heizöl,1011
623,Rapperswil (BE),Unbestimmt,1010
624,Collonge-Bellerive,Gas,1010
625,Gossau (SG),Gas,1008
626,Nendaz,Weitere,1006
627,Erlinsbach (AG),Unbestimmt,1006
628,Hombrechtikon,Heizöl,1006
629,Fully,Unbestimmt,1006
630,Grône,Unbestimmt,1004
631,Fischingen,Unbestimmt,1004
632,Plan-les-Ouates,Gas,1003
633,Airolo,Unbestimmt,1001
634,Rickenbach (LU),Unbestimmt,1000
635,Grüsch,Unbestimmt,999
636,Würenlingen,Unbestimmt,998
637,Valbirse,Unbestimmt,996
638,Ittigen,Heizöl,995
639,St. Margrethen,Unbestimmt,995
640,Eglisau,Unbestimmt,994
641,Pfäfers,Unbestimmt,993
642,Sirnach,Unbestimmt,993
643,Pully,Gas,993
644,Brugg,Keine,991
645,Lenzburg,Gas,990
646,Brugg,Heizöl,990
647,Rorschacherberg,Unbestimmt,988
648,Andelfingen,Unbestimmt,988
649,Magden,Unbestimmt,988
650,Saint-Imier,Unbestimmt,987
651,Waldkirch,Keine,987
652,Gipf-Oberfrick,Unbestimmt,986
653,Menznau,Unbestimmt,986
654,Seengen,Unbestimmt,985
655,Faido,Elektrizität,985
656,Courrendlin,Unbestimmt,984
657,Buchrain,Unbestimmt,984
658,Hergiswil bei Willisau,Unbestimmt,981
659,Untersiggenthal,Unbestimmt,980
660,Pully,Heizöl,980
661,Wangen (SZ),Unbestimmt,979
662,Dornach,Gas,977
663,Vuisternens-devant-Romont,Unbestimmt,977
664,Jegenstorf,Unbestimmt,977
665,Teufen (AR),Heizöl,976
666,Mörschwil,Unbestimmt,976
667,Langenthal,Keine,973
668,Mettauertal,Unbestimmt,973
669,Grosshöchstetten,Unbestimmt,970
670,Montagny (FR),Unbestimmt,970
671,Erlenbach im Simmental,Unbestimmt,969
672,Galgenen,Unbestimmt,969
673,Cevio,Unbestimmt,969
674,Domat/Ems,Heizöl,969
675,Muri bei Bern,Gas,967
676,Flawil,Gas,967
677,Oberbüren,Keine,967
678,Frutigen,Heizöl,965
679,Ormont-Dessus,Unbestimmt,965
680,Sargans,Unbestimmt,964
681,Sigriswil,Heizöl,962
682,Reichenbach im Kandertal,Weitere,961
683,Bottmingen,Keine,960
684,Wollerau,Unbestimmt,960
685,Tägerwilen,Unbestimmt,959
686,Basel,Unbestimmt,959
687,Valbroye,Unbestimmt,958
688,Wangen bei Olten,Unbestimmt,956
689,Rüeggisberg,Unbestimmt,956
690,Lancy,Unbestimmt,955
691,Unterägeri,Heizöl,954
692,Troistorrents,Heizöl,952
693,Langnau im Emmental,Heizöl,951
694,Schinznach,Unbestimmt,951
695,Grossaffoltern,Unbestimmt,950
696,Sainte-Croix,Unbestimmt,950
697,Muhen,Unbestimmt,949
698,Bürglen (UR),Unbestimmt,949
699,Gachnang,Unbestimmt,948
700,Lenk,Keine,948
701,Arosa,Weitere,948
702,Mels,Weitere,947
703,Olten,Heizöl,945
704,Trub,Unbestimmt,945
705,Lenk,Unbestimmt,943
706,Möriken-Wildegg,Unbestimmt,941
707,Unterägeri,Keine,939
708,Anniviers,Heizöl,939
709,Wittenbach,Heizöl,939
710,Dietikon,Gas,938
711,Bad Ragaz,Heizöl,937
712,Ins,Unbestimmt,936
713,Baar,Gas,936
714,Aigle,Gas,936
715,Nendaz,Unbestimmt,936
716,Tujetsch,Unbestimmt,934
717,Grüningen,Unbestimmt,933
718,Beatenberg,Unbestimmt,933
719,Orbe,Unbestimmt,933
720,Oberglatt,Unbestimmt,933
721,Nottwil,Unbestimmt,933
722,Maienfeld,Unbestimmt,933
723,Courroux,Unbestimmt,932
724,Naters,Heizöl,932
725,Signau,Unbestimmt,932
726,Ascona,Heizöl,931
727,Sumiswald,Weitere,929
728,Ittigen,Unbestimmt,928
729,Lauterbrunnen,Heizöl,927
730,Lausen,Keine,926
731,Nesslau,Weitere,926
732,Bolligen,Heizöl,926
733,Bernex,Heizöl,926
734,Niederhelfenschwil,Unbestimmt,925
735,Heimiswil,Unbestimmt,924
736,Gaiserwald,Heizöl,921
737,Arbon,Unbestimmt,919
738,Oberwil im Simmental,Unbestimmt,919
739,Volketswil,Gas,918
740,Sachseln,Keine,918
741,Milvignes,Gas,917
742,Niederlenz,Unbestimmt,917
743,Cham,Heizöl,916
744,Bois-d'Amont,Unbestimmt,916
745,Gelterkinden,Heizöl,915
746,Biberist,Gas,915
747,Speicher,Unbestimmt,914
748,Le Locle,Heizöl,913
749,Collombey-Muraz,Gas,912
750,Hausen am Albis,Unbestimmt,911
751,Prez,Unbestimmt,910
752,Interlaken,Unbestimmt,909
753,Lostorf,Unbestimmt,909
754,Würenlingen,Weitere,907
755,Kriens,Gas,907
756,Schübelbach,Heizöl,906
757,Renens (VD),Gas,906
758,Amriswil,Gas,905
759,Mettmenstetten,Unbestimmt,904
