Gemeinde,PaxGas,PaxElektrizität,PaxÖl,PaxKeine,PaxUnbestimmt,PaxWeitere
Giez,10.0,73.0,175.0,0.0,104.0,91.0
Giffers,0.0,93.0,571.0,5.0,742.0,364.0
Gilly,736.0,57.0,425.0,0.0,162.0,131.0
Gimel,907.0,316.0,789.0,0.0,135.0,256.0
Gingins,23.0,365.0,470.0,4.0,216.0,212.0
Giornico,10.0,221.0,349.0,0.0,119.0,120.0
Gipf-Oberfrick,242.0,189.0,1177.0,2.0,1562.0,574.0
Gisikon,0.0,57.0,650.0,0.0,524.0,191.0
Giswil,5.0,326.0,894.0,2.0,830.0,1882.0
Givisiez,1495.0,244.0,677.0,0.0,500.0,217.0
Givrins,10.0,181.0,435.0,2.0,175.0,208.0
Gland,5832.0,619.0,3613.0,0.0,1074.0,2109.0
Glarus,3005.0,653.0,5681.0,60.0,1566.0,1599.0
Glarus Nord,3002.0,854.0,8827.0,31.0,3892.0,2818.0
Glarus Süd,94.0,1302.0,3320.0,7.0,1583.0,3526.0
Glattfelden,4.0,190.0,2777.0,0.0,2092.0,313.0
Gletterens,6.0,123.0,214.0,0.0,556.0,196.0
Goldach,2877.0,52.0,3866.0,5.0,1878.0,861.0
Gollion,417.0,140.0,202.0,0.0,89.0,176.0
Gommiswald,12.0,274.0,1873.0,1.0,1823.0,1571.0
Goms,3.0,163.0,541.0,0.0,160.0,348.0
Gondiswil,0.0,41.0,226.0,0.0,122.0,384.0
Gonten,0.0,52.0,409.0,7.0,435.0,651.0
Gontenschwil,4.0,163.0,1213.0,2.0,410.0,436.0
Gordola,28.0,1003.0,2166.0,2.0,1303.0,230.0
Gossau (SG),5873.0,474.0,5910.0,5.0,4302.0,1576.0
Gossau (ZH),653.0,488.0,4732.0,26.0,3176.0,1213.0
Gottlieben,165.0,3.0,84.0,0.0,33.0,42.0
Goumoëns,393.0,146.0,333.0,0.0,130.0,176.0
Graben,0.0,33.0,92.0,0.0,84.0,129.0
Grabs,577.0,104.0,1610.0,10.0,1517.0,3638.0
Grancia,200.0,76.0,179.0,0.0,30.0,6.0
Grancy,178.0,49.0,127.0,0.0,56.0,48.0
Grandcour,33.0,74.0,481.0,0.0,321.0,119.0
Grandevent,8.0,66.0,75.0,0.0,22.0,73.0
Grandfontaine,0.0,46.0,185.0,0.0,64.0,114.0
Grandson,1391.0,279.0,1028.0,3.0,358.0,325.0
Grandval,0.0,22.0,160.0,0.0,77.0,115.0
Grandvillard,22.0,38.0,223.0,7.0,325.0,258.0
Granges (Veveyse),50.0,162.0,264.0,2.0,234.0,191.0
Granges-Paccot,990.0,239.0,1311.0,7.0,724.0,848.0
Grangettes,0.0,11.0,58.0,2.0,82.0,75.0
Gravesano,215.0,258.0,613.0,2.0,215.0,39.0
Greifensee,1187.0,34.0,1215.0,4.0,921.0,1844.0
Grellingen,1.0,21.0,974.0,431.0,6.0,481.0
Grenchen,9118.0,188.0,6383.0,66.0,1499.0,660.0
Greng,0.0,25.0,34.0,0.0,46.0,70.0
Grengiols,4.0,58.0,204.0,0.0,30.0,129.0
Grens,27.0,40.0,229.0,2.0,82.0,46.0
Greppen,0.0,93.0,222.0,36.0,205.0,653.0
Gretzenbach,188.0,220.0,1238.0,0.0,848.0,340.0
Grimisuat,19.0,427.0,1213.0,10.0,988.0,1083.0
Grindel,0.0,30.0,273.0,4.0,83.0,121.0
Grindelwald,1.0,272.0,2061.0,25.0,423.0,1154.0
Grolley,0.0,204.0,814.0,8.0,664.0,425.0
Grono,11.0,489.0,511.0,3.0,257.0,215.0
Grossaffoltern,6.0,105.0,1512.0,4.0,623.0,881.0
Grossdietwil,8.0,46.0,324.0,0.0,221.0,293.0
Grosshöchstetten,30.0,348.0,1881.0,20.0,985.0,849.0
Grosswangen,4.0,107.0,1107.0,0.0,1140.0,952.0
Grub (AR),129.0,14.0,521.0,0.0,81.0,246.0
Gruyères,32.0,240.0,819.0,1.0,778.0,402.0
Gryon,134.0,122.0,874.0,5.0,130.0,207.0
Grächen,7.0,74.0,1011.0,0.0,57.0,136.0
Gränichen,537.0,275.0,4039.0,18.0,2576.0,1021.0
Grône,641.0,373.0,807.0,1.0,561.0,157.0
Grüningen,16.0,148.0,1642.0,0.0,1493.0,562.0
Grüsch,6.0,79.0,847.0,0.0,709.0,575.0
Gsteig,46.0,22.0,423.0,0.0,139.0,433.0
Gsteigwiler,4.0,39.0,194.0,4.0,31.0,173.0
Guggisberg,4.0,78.0,490.0,0.0,55.0,1048.0
Gunzgen,24.0,52.0,1025.0,0.0,320.0,259.0
Gurbrü,0.0,16.0,109.0,0.0,52.0,77.0
Gurmels,2.0,199.0,1574.0,8.0,1806.0,992.0
Gurtnellen,0.0,101.0,142.0,7.0,27.0,294.0
Gurzelen,7.0,5.0,384.0,3.0,158.0,358.0
Guttannen,0.0,24.0,84.0,2.0,14.0,132.0
Guttet-Feschel,4.0,80.0,220.0,3.0,45.0,92.0
Gy,26.0,32.0,303.0,0.0,41.0,61.0
Gächlingen,4.0,41.0,447.0,0.0,245.0,183.0
Göschenen,0.0,87.0,201.0,2.0,23.0,123.0
Gündlischwand,0.0,16.0,168.0,6.0,19.0,153.0
Günsberg,20.0,33.0,594.0,4.0,250.0,280.0
Güttingen,519.0,59.0,529.0,0.0,211.0,399.0
Habkern,0.0,60.0,147.0,2.0,63.0,373.0
Habsburg,0.0,33.0,192.0,0.0,152.0,61.0
Hagenbuch,0.0,87.0,429.0,0.0,391.0,228.0
Hagneck,0.0,43.0,172.0,2.0,122.0,60.0
Hallau,4.0,76.0,923.0,2.0,481.0,849.0
Hallwil,80.0,80.0,478.0,4.0,260.0,132.0
Halten,31.0,37.0,528.0,0.0,200.0,97.0
Hasle (LU),0.0,105.0,491.0,0.0,565.0,636.0
Hasle bei Burgdorf,33.0,124.0,1154.0,4.0,935.0,1131.0
Hasliberg,0.0,17.0,434.0,0.0,128.0,609.0
Hauenstein-Ifenthal,0.0,25.0,100.0,1.0,111.0,89.0
Hauptwil-Gottshaus,355.0,52.0,814.0,7.0,323.0,524.0
Hausen (AG),1722.0,91.0,1018.0,3.0,538.0,238.0
Hausen am Albis,22.0,120.0,1558.0,7.0,1207.0,977.0
Haut-Intyamon,4.0,83.0,710.0,4.0,459.0,478.0
Haute-Ajoie,5.0,120.0,544.0,3.0,115.0,352.0
Haute-Sorne,17.0,436.0,4224.0,6.0,1368.0,1287.0
Hautemorges,2008.0,410.0,1027.0,13.0,292.0,483.0
Hauterive (FR),91.0,190.0,926.0,6.0,1041.0,456.0
Hauterive (NE),929.0,15.0,1060.0,3.0,584.0,83.0
Hauteville,58.0,40.0,192.0,0.0,215.0,201.0
Hedingen,18.0,261.0,1702.0,2.0,1248.0,591.0
Hefenhofen,385.0,52.0,339.0,0.0,191.0,394.0
Heiden,1539.0,34.0,1384.0,25.0,501.0,833.0
Heiligenschwendi,4.0,32.0,244.0,6.0,171.0,320.0
Heimberg,499.0,259.0,3104.0,3.0,2154.0,813.0
Heimenhausen,24.0,105.0,421.0,0.0,356.0,291.0
Heimiswil,2.0,69.0,369.0,3.0,264.0,1060.0
Heitenried,4.0,33.0,390.0,0.0,613.0,447.0
Hellikon,0.0,46.0,232.0,2.0,307.0,245.0
Hellsau,0.0,5.0,87.0,0.0,41.0,84.0
Hemishofen,6.0,37.0,145.0,0.0,169.0,122.0
Hemmiken,3.0,14.0,88.0,24.0,0.0,132.0
Hendschiken,4.0,53.0,602.0,13.0,413.0,274.0
Henggart,2.0,109.0,1227.0,0.0,807.0,167.0
Henniez,170.0,23.0,129.0,2.0,35.0,35.0
Herbetswil,0.0,11.0,247.0,2.0,74.0,255.0
Herbligen,0.0,30.0,233.0,4.0,80.0,259.0
Herdern,3.0,33.0,394.0,2.0,364.0,341.0
Hergiswil (NW),19.0,401.0,3286.0,0.0,1598.0,524.0
Hergiswil bei Willisau,0.0,79.0,339.0,0.0,428.0,1172.0
Herisau,5975.0,440.0,5350.0,11.0,1812.0,2170.0
Hermance,600.0,68.0,289.0,0.0,154.0,32.0
Hermenches,29.0,25.0,178.0,3.0,111.0,34.0
Hermrigen,0.0,19.0,150.0,1.0,87.0,74.0
Herrliberg,1864.0,117.0,2347.0,19.0,1758.0,636.0
Hersberg,0.0,36.0,127.0,69.0,0.0,122.0
Herznach-Ueken,3.0,239.0,831.0,0.0,999.0,495.0
Herzogenbuchsee,2641.0,287.0,2172.0,24.0,1528.0,716.0
Hettlingen,3.0,379.0,1122.0,12.0,985.0,649.0
Hildisrieden,3.0,76.0,764.0,2.0,1037.0,559.0
Hilterfingen,1146.0,192.0,1643.0,18.0,730.0,406.0
Himmelried,7.0,61.0,520.0,0.0,204.0,162.0
Hindelbank,5.0,147.0,1291.0,0.0,741.0,611.0
Hinwil,1771.0,579.0,4538.0,41.0,2317.0,2446.0
Hirschthal,0.0,99.0,677.0,0.0,601.0,231.0
Hittnau,26.0,185.0,1471.0,8.0,1363.0,740.0
Hitzkirch,18.0,359.0,2090.0,1.0,1957.0,1611.0
Hochdorf,316.0,311.0,4845.0,0.0,3479.0,870.0
Hochfelden,175.0,74.0,887.0,3.0,651.0,229.0
Hochwald,0.0,20.0,692.0,0.0,251.0,316.0
Hofstetten bei Brienz,0.0,11.0,257.0,2.0,56.0,214.0
Hofstetten-Flüh,14.0,121.0,1884.0,0.0,957.0,336.0
Hohenrain,0.0,194.0,760.0,0.0,739.0,886.0
Hohentannen,15.0,17.0,287.0,0.0,58.0,319.0
Holderbank (AG),328.0,54.0,509.0,3.0,420.0,147.0
Holderbank (SO),4.0,7.0,481.0,9.0,124.0,136.0
Holziken,6.0,96.0,769.0,0.0,553.0,234.0
Homberg,0.0,25.0,97.0,2.0,77.0,330.0
Hombrechtikon,165.0,438.0,4130.0,1.0,2954.0,1211.0
Homburg,2.0,19.0,600.0,7.0,361.0,635.0
Honau,3.0,60.0,125.0,0.0,142.0,87.0
Horgen,5064.0,534.0,5602.0,28.0,6016.0,6041.0
Horn,1067.0,35.0,1033.0,7.0,421.0,321.0
Horrenbach-Buchen,0.0,6.0,37.0,2.0,4.0,218.0
Horriwil,29.0,39.0,454.0,0.0,220.0,124.0
Horw,1576.0,464.0,5639.0,147.0,5346.0,1625.0
Hospental,0.0,23.0,125.0,0.0,13.0,26.0
Hubersdorf,2.0,40.0,367.0,0.0,233.0,73.0
Hundwil,9.0,27.0,278.0,3.0,126.0,621.0
Hunzenschwil,676.0,145.0,2212.0,0.0,912.0,321.0
Huttwil,16.0,154.0,2462.0,5.0,1060.0,1398.0
Häfelfingen,0.0,20.0,62.0,46.0,0.0,130.0
Hägendorf,573.0,77.0,2643.0,0.0,968.0,1031.0
Häggenschwil,10.0,13.0,485.0,3.0,463.0,410.0
Hägglingen,3.0,76.0,1160.0,0.0,678.0,585.0
Härkingen,135.0,129.0,703.0,0.0,556.0,210.0
Häutligen,3.0,12.0,54.0,6.0,46.0,155.0
Hérémence,8.0,642.0,279.0,2.0,195.0,468.0
Höchstetten,2.0,17.0,77.0,27.0,56.0,99.0
Hölstein,0.0,115.0,1094.0,349.0,3.0,1035.0
Höri,18.0,67.0,1462.0,5.0,1270.0,214.0
Hünenberg,2561.0,81.0,2481.0,2.0,2050.0,1736.0
Hüniken,9.0,5.0,45.0,0.0,72.0,31.0
Hüntwangen,7.0,50.0,429.0,0.0,448.0,165.0
Hüttikon,8.0,70.0,331.0,0.0,476.0,47.0
Hüttlingen,3.0,24.0,225.0,0.0,186.0,418.0
Hüttwilen,345.0,39.0,407.0,3.0,483.0,494.0
Icogne,20.0,192.0,217.0,9.0,118.0,90.0
Iffwil,0.0,11.0,168.0,5.0,54.0,201.0
Ilanz/Glion,28.0,397.0,2165.0,10.0,981.0,1342.0
Illgau,0.0,21.0,177.0,0.0,164.0,443.0
Illnau-Effretikon,2340.0,517.0,8535.0,24.0,3795.0,2286.0
Inden,0.0,44.0,28.0,0.0,8.0,40.0
Ingenbohl,677.0,524.0,3167.0,8.0,1283.0,3463.0
Inkwil,2.0,65.0,283.0,0.0,144.0,190.0
Innerthal,10.0,10.0,63.0,0.0,28.0,94.0
Innertkirchen,0.0,108.0,381.0,7.0,154.0,475.0
Ins,618.0,112.0,1391.0,0.0,998.0,511.0
Interlaken,1087.0,206.0,2750.0,5.0,1196.0,659.0
Inwil,52.0,144.0,1066.0,13.0,976.0,654.0
Ipsach,1111.0,146.0,1394.0,19.0,720.0,327.0
Iseltwald,0.0,17.0,142.0,1.0,58.0,171.0
Isenthal,0.0,19.0,44.0,0.0,0.0,417.0
Islisberg,0.0,4.0,241.0,0.0,291.0,123.0
Isone,0.0,99.0,169.0,3.0,66.0,49.0
Isérables,2.0,312.0,250.0,0.0,154.0,123.0
Itingen,9.0,131.0,942.0,495.0,0.0,747.0
Ittigen,2160.0,412.0,6146.0,8.0,1742.0,762.0
Jaberg,0.0,12.0,169.0,0.0,58.0,66.0
Jaun,1.0,47.0,224.0,0.0,107.0,285.0
Jegenstorf,630.0,171.0,2451.0,0.0,1274.0,1281.0
Jenaz,3.0,20.0,564.0,0.0,157.0,422.0
Jenins,7.0,32.0,492.0,3.0,210.0,208.0
Jens,0.0,53.0,306.0,3.0,126.0,184.0
Jonen,7.0,64.0,763.0,2.0,1062.0,350.0
Jongny,874.0,118.0,417.0,0.0,210.0,167.0
Jonschwil,1204.0,137.0,874.0,7.0,527.0,1223.0
Jorat-Menthue,226.0,203.0,644.0,0.0,269.0,303.0
Jorat-Mézières,738.0,357.0,1141.0,3.0,506.0,408.0
Jouxtens-Mézery,725.0,204.0,306.0,0.0,270.0,77.0
Juriens,9.0,26.0,143.0,3.0,67.0,102.0
Jussy,42.0,71.0,772.0,0.0,198.0,128.0
Kaiseraugst,1322.0,78.0,629.0,4.0,569.0,2902.0
Kaisten,0.0,127.0,1251.0,7.0,1102.0,348.0
Kallern,0.0,23.0,114.0,0.0,152.0,127.0
Kallnach,0.0,103.0,1034.0,2.0,551.0,592.0
Kaltbrunn,1439.0,48.0,1354.0,18.0,1211.0,1048.0
Kammersrohr,0.0,0.0,14.0,0.0,12.0,17.0
Kandergrund,0.0,28.0,393.0,13.0,94.0,345.0
Kandersteg,0.0,101.0,776.0,3.0,177.0,245.0
Kappel (SO),633.0,91.0,1725.0,0.0,641.0,310.0
Kappel am Albis,0.0,53.0,322.0,0.0,453.0,469.0
Kappelen,3.0,90.0,612.0,6.0,431.0,303.0
Kaufdorf,0.0,73.0,578.0,4.0,229.0,201.0
Kehrsatz,2.0,331.0,2461.0,0.0,880.0,850.0
Kemmental,17.0,69.0,921.0,2.0,810.0,882.0
Kernenried,0.0,21.0,242.0,0.0,96.0,197.0
Kerns,4.0,333.0,2091.0,9.0,1707.0,2298.0
Kerzers,66.0,288.0,2230.0,0.0,1420.0,1168.0
Kesswil,322.0,27.0,206.0,3.0,111.0,330.0
Kestenholz,2.0,115.0,921.0,0.0,623.0,215.0
Kienberg,0.0,26.0,181.0,0.0,99.0,209.0
Kiesen,0.0,63.0,406.0,0.0,374.0,158.0
Kilchberg (BL),0.0,0.0,32.0,30.0,2.0,100.0
Kilchberg (ZH),2397.0,260.0,4008.0,120.0,1880.0,420.0
Killwangen,236.0,48.0,1119.0,7.0,374.0,256.0
Kippel,3.0,66.0,137.0,0.0,37.0,72.0
Kirchberg (BE),1699.0,183.0,1835.0,4.0,1622.0,583.0
Kirchberg (SG),2204.0,299.0,1927.0,10.0,2387.0,2761.0
Kirchdorf (BE),3.0,70.0,667.0,2.0,516.0,605.0
Kirchleerau,156.0,89.0,260.0,2.0,200.0,215.0
Kirchlindach,151.0,252.0,1376.0,9.0,726.0,822.0
Kleinandelfingen,13.0,120.0,922.0,0.0,762.0,334.0
Kleinbösingen,0.0,67.0,141.0,0.0,327.0,172.0
Kleinlützel,5.0,59.0,674.0,0.0,172.0,350.0
Klingnau,2.0,237.0,748.0,0.0,667.0,1971.0
Klosters,48.0,276.0,2302.0,13.0,1040.0,841.0
Kloten,2291.0,138.0,12085.0,83.0,3281.0,2870.0
Knonau,33.0,36.0,830.0,0.0,954.0,592.0
Knutwil,0.0,81.0,687.0,5.0,764.0,806.0
Koblenz,3.0,134.0,1074.0,0.0,305.0,169.0
Konolfingen,23.0,251.0,2537.0,34.0,1472.0,1146.0
Koppigen,38.0,90.0,1048.0,12.0,530.0,451.0
Kradolf-Schönenberg,997.0,64.0,1365.0,24.0,500.0,736.0
Krattigen,2.0,72.0,507.0,4.0,224.0,312.0
Krauchthal,4.0,122.0,959.0,0.0,723.0,626.0
Kreuzlingen,7395.0,503.0,9509.0,0.0,3397.0,1645.0
Kriechenwil,0.0,14.0,216.0,0.0,67.0,154.0
Kriegstetten,59.0,183.0,717.0,0.0,295.0,114.0
Kriens,9583.0,550.0,8974.0,125.0,7378.0,2122.0
Känerkinden,0.0,28.0,242.0,55.0,2.0,199.0
Kölliken,1258.0,215.0,1603.0,30.0,994.0,584.0
Köniz,5640.0,1498.0,17869.0,39.0,6087.0,11111.0
Küblis,9.0,58.0,506.0,0.0,145.0,197.0
Künten,36.0,129.0,1065.0,3.0,395.0,208.0
Küsnacht (ZH),4508.0,226.0,5624.0,7.0,3444.0,1099.0
Küssnacht (SZ),848.0,900.0,6203.0,0.0,4021.0,1929.0
Küttigen,196.0,501.0,2877.0,13.0,1863.0,962.0
L'Abbaye,20.0,132.0,936.0,0.0,179.0,279.0
L'Abergement,62.0,26.0,80.0,0.0,37.0,60.0
L'Isle,128.0,190.0,473.0,2.0,82.0,238.0
La Baroche,10.0,96.0,621.0,1.0,127.0,348.0
La Brillaz,26.0,77.0,727.0,0.0,874.0,430.0
La Brévine,0.0,3.0,251.0,0.0,47.0,378.0
La Chaux (Cossonay),223.0,47.0,50.0,0.0,25.0,56.0
La Chaux-de-Fonds,9191.0,900.0,13367.0,12.0,4770.0,8673.0
La Chaux-du-Milieu,5.0,11.0,168.0,0.0,96.0,254.0
La Côte-aux-Fées,5.0,3.0,169.0,0.0,39.0,296.0
La Ferrière,5.0,27.0,302.0,0.0,41.0,178.0
La Grande Béroche,1182.0,239.0,4301.0,38.0,1389.0,1864.0
La Neuveville,18.0,160.0,2509.0,23.0,680.0,428.0
La Praz,2.0,3.0,112.0,0.0,34.0,36.0
La Punt Chamues-ch,0.0,30.0,467.0,2.0,117.0,89.0
La Rippe,80.0,228.0,524.0,0.0,194.0,148.0
La Roche,0.0,153.0,591.0,0.0,574.0,538.0
La Sagne,4.0,56.0,488.0,12.0,142.0,413.0
La Sarraz,1366.0,280.0,497.0,5.0,245.0,227.0
La Sonnaz,103.0,59.0,341.0,4.0,439.0,378.0
La Tour-de-Peilz,6517.0,120.0,4034.0,9.0,694.0,898.0
La Tène,1944.0,74.0,1698.0,172.0,521.0,920.0
La Verrerie,25.0,74.0,438.0,0.0,413.0,398.0
Laax,6.0,165.0,937.0,0.0,620.0,291.0
Lac de Neuchâtel (NE),0.0,1.0,6.0,2.0,17.0,13.0
Lachen,2055.0,641.0,4409.0,23.0,897.0,1262.0
Laconnex,68.0,90.0,391.0,0.0,94.0,52.0
Lajoux (JU),2.0,42.0,342.0,0.0,116.0,226.0
Lalden,4.0,53.0,345.0,0.0,126.0,166.0
Lamone,194.0,212.0,1069.0,0.0,270.0,50.0
Lampenberg,0.0,26.0,158.0,89.0,0.0,267.0
Lancy,11423.0,302.0,15766.0,5.0,2863.0,3703.0
Landiswil,0.0,27.0,113.0,0.0,76.0,444.0
Landquart,1890.0,189.0,4128.0,37.0,1633.0,987.0
Langenbruck,0.0,62.0,475.0,145.0,0.0,291.0
Langendorf,1761.0,119.0,1072.0,7.0,461.0,340.0
Langenthal,8164.0,255.0,2861.0,910.0,2343.0,1350.0
Langnau am Albis,2554.0,165.0,3096.0,5.0,1832.0,354.0
Langnau im Emmental,73.0,405.0,3909.0,2.0,2208.0,2926.0
Langrickenbach,7.0,21.0,438.0,2.0,391.0,553.0
Lantsch/Lenz,0.0,95.0,235.0,0.0,56.0,181.0
Lauenen,4.0,96.0,236.0,0.0,82.0,480.0
Lauerz,65.0,83.0,406.0,3.0,195.0,379.0
Laufen,755.0,370.0,2754.0,989.0,2.0,937.0
Laufen-Uhwiesen,11.0,153.0,818.0,3.0,639.0,170.0
Laufenburg,11.0,698.0,1381.0,1.0,963.0,653.0
Laupen,4.0,137.0,1895.0,21.0,452.0,757.0
Laupersdorf,0.0,49.0,997.0,0.0,419.0,373.0
Lauperswil,0.0,140.0,854.0,0.0,574.0,1238.0
Lausanne,47486.0,1249.0,55478.0,37.0,3094.0,33586.0
Lausen,2505.0,94.0,894.0,1042.0,14.0,1154.0
Lauterbrunnen,3.0,201.0,1508.0,0.0,112.0,580.0
Lauwil,0.0,17.0,97.0,50.0,0.0,159.0
Lavertezzo,66.0,244.0,462.0,2.0,382.0,69.0
Lavey-Morcles,425.0,40.0,326.0,8.0,121.0,51.0
Lavigny,442.0,100.0,261.0,8.0,131.0,86.0
Lavizzara,3.0,228.0,74.0,2.0,59.0,182.0
Lax,1.0,62.0,143.0,0.0,60.0,90.0
Le Bémont (JU),0.0,18.0,147.0,0.0,22.0,143.0
Le Cerneux-Péquignot,1.0,16.0,135.0,0.0,26.0,181.0
Le Chenit,71.0,213.0,3155.0,11.0,385.0,805.0
Le Châtelard,0.0,8.0,155.0,0.0,39.0,161.0
Le Flon,8.0,73.0,485.0,0.0,385.0,313.0
Le Grand-Saconnex,6720.0,179.0,4343.0,5.0,511.0,918.0
Le Landeron,73.0,144.0,2884.0,2.0,858.0,727.0
Le Lieu,13.0,55.0,436.0,0.0,66.0,356.0
Le Locle,3784.0,192.0,4234.0,0.0,1399.0,1297.0
Le Mont-sur-Lausanne,2983.0,620.0,2591.0,4.0,870.0,2422.0
Le Mouret,80.0,237.0,1054.0,0.0,1081.0,829.0
Le Noirmont,7.0,89.0,1072.0,1.0,265.0,509.0
Le Pâquier (FR),12.0,93.0,580.0,0.0,321.0,347.0
Le Vaud,11.0,333.0,554.0,0.0,348.0,153.0
Leibstadt,0.0,206.0,537.0,0.0,572.0,144.0
Leimbach (AG),0.0,9.0,258.0,0.0,166.0,70.0
Leissigen,2.0,107.0,502.0,6.0,331.0,229.0
Lengnau (AG),3.0,201.0,1215.0,8.0,895.0,559.0
Lengnau (BE),1952.0,118.0,1950.0,6.0,970.0,368.0
Lengwil,159.0,31.0,680.0,0.0,435.0,442.0
Lenk,10.0,235.0,883.0,1.0,362.0,907.0
Lens,948.0,358.0,1485.0,7.0,770.0,818.0
Lenzburg,4628.0,167.0,1881.0,74.0,1993.0,2346.0
Les Bois,5.0,40.0,699.0,3.0,178.0,402.0
Les Breuleux,2.0,72.0,920.0,0.0,149.0,495.0
Les Clées,56.0,7.0,68.0,0.0,13.0,45.0
Les Enfers,4.0,6.0,67.0,0.0,12.0,57.0
Les Genevez (JU),12.0,29.0,285.0,0.0,47.0,160.0
Les Montets,100.0,123.0,487.0,10.0,582.0,262.0
Les Planchettes,2.0,0.0,131.0,0.0,24.0,90.0
Les Ponts-de-Martel,4.0,29.0,682.0,4.0,155.0,393.0
Les Verrières,3.0,7.0,497.0,0.0,37.0,139.0
Leuggern,0.0,269.0,980.0,0.0,501.0,591.0
Leuk,26.0,583.0,1985.0,56.0,683.0,806.0
Leukerbad,42.0,131.0,1068.0,0.0,18.0,81.0
Leutwil,6.0,39.0,346.0,7.0,164.0,202.0
Leuzigen,56.0,29.0,689.0,0.0,191.0,371.0
Leysin,2671.0,133.0,569.0,0.0,57.0,228.0
Leytron,17.0,876.0,1019.0,1.0,1142.0,265.0
Lichtensteig,790.0,62.0,510.0,9.0,319.0,275.0
Liddes,2.0,203.0,168.0,0.0,46.0,355.0
Liedertswil,0.0,11.0,30.0,25.0,0.0,98.0
Liesberg,1.0,40.0,566.0,119.0,0.0,392.0
Liestal,4158.0,389.0,2554.0,2788.0,14.0,5292.0
Ligerz,0.0,29.0,236.0,1.0,119.0,132.0
Lignerolle,127.0,24.0,175.0,0.0,14.0,78.0
Lignières,8.0,7.0,537.0,4.0,76.0,371.0
Lindau,48.0,130.0,2486.0,11.0,1720.0,1254.0
Linden,0.0,46.0,346.0,8.0,216.0,761.0
Linescio,0.0,18.0,2.0,2.0,5.0,17.0
Locarno,167.0,1446.0,9906.0,43.0,3509.0,1154.0
Lohn (SH),17.0,22.0,411.0,0.0,200.0,124.0
Lohn-Ammannsegg,14.0,106.0,1328.0,5.0,1049.0,394.0
Lommis,0.0,41.0,539.0,11.0,383.0,310.0
Lommiswil,28.0,134.0,500.0,0.0,343.0,622.0
Lonay,803.0,262.0,1144.0,1.0,342.0,267.0
Longirod,12.0,93.0,156.0,0.0,66.0,206.0
Losone,25.0,1413.0,3182.0,4.0,1449.0,756.0
Lostallo,0.0,554.0,85.0,1.0,90.0,132.0
Lostorf,168.0,276.0,1826.0,3.0,1517.0,295.0
Lotzwil,1487.0,48.0,488.0,9.0,445.0,241.0
Lovatens,31.0,0.0,74.0,0.0,17.0,26.0
Loveresse,0.0,38.0,168.0,1.0,95.0,69.0
Lucens,1288.0,398.0,1607.0,52.0,462.0,592.0
Lufingen,0.0,62.0,833.0,0.0,1578.0,146.0
Lugano,17820.0,3288.0,32637.0,53.0,6792.0,1873.0
Luins,218.0,82.0,181.0,4.0,81.0,42.0
Lully (FR),17.0,120.0,366.0,0.0,458.0,240.0
Lully (VD),322.0,75.0,268.0,0.0,152.0,36.0
Lumino,23.0,198.0,706.0,13.0,515.0,98.0
Lumnezia,7.0,192.0,557.0,4.0,421.0,907.0
Lungern,3.0,271.0,623.0,3.0,498.0,717.0
Lupfig,1181.0,131.0,788.0,14.0,912.0,374.0
Lupsingen,0.0,52.0,564.0,186.0,0.0,681.0
Lussery-Villars,275.0,40.0,107.0,0.0,44.0,13.0
Lussy-sur-Morges,382.0,112.0,123.0,0.0,52.0,70.0
Luterbach,1473.0,166.0,1481.0,0.0,303.0,245.0
Luthern,0.0,39.0,263.0,0.0,139.0,912.0
Lutry,739.0,1191.0,6204.0,16.0,1600.0,1007.0
Lutzenberg,495.0,31.0,341.0,1.0,205.0,257.0
Luzein,4.0,109.0,438.0,4.0,253.0,944.0
Luzern,38719.0,320.0,21507.0,282.0,16246.0,5597.0
Lyss,3541.0,668.0,6312.0,16.0,3664.0,1742.0
Lyssach,232.0,99.0,649.0,18.0,211.0,333.0
Läufelfingen,0.0,59.0,517.0,224.0,4.0,488.0
Löhningen,14.0,68.0,603.0,0.0,520.0,376.0
Lüscherz,4.0,45.0,225.0,9.0,144.0,132.0
Lüsslingen-Nennigkofen,8.0,62.0,483.0,0.0,292.0,296.0
Lüterkofen-Ichertswil,3.0,51.0,402.0,6.0,194.0,265.0
Lüterswil-Gächliwil,2.0,20.0,128.0,1.0,92.0,104.0
Lütisburg,121.0,29.0,533.0,1.0,314.0,660.0
Lütschental,0.0,20.0,75.0,1.0,27.0,114.0
Lützelflüh,16.0,143.0,1654.0,47.0,789.0,1784.0
Madiswil,57.0,202.0,1138.0,2.0,977.0,1010.0
Madulain,0.0,5.0,158.0,0.0,29.0,21.0
Magden,15.0,159.0,1615.0,0.0,1596.0,509.0
Maggia,26.0,641.0,979.0,3.0,736.0,284.0
Magliaso,15.0,268.0,903.0,0.0,390.0,44.0
Maienfeld,60.0,134.0,1375.0,8.0,1116.0,630.0
Maisprach,0.0,50.0,295.0,155.0,0.0,428.0
Malans,0.0,114.0,1387.0,0.0,573.0,416.0
Malters,29.0,229.0,2709.0,26.0,2901.0,1848.0
Mammern,207.0,16.0,253.0,11.0,111.0,103.0
Mandach,0.0,20.0,84.0,2.0,83.0,151.0
Manno,210.0,87.0,672.0,0.0,298.0,44.0
Maracon,66.0,34.0,223.0,0.0,96.0,151.0
Marbach (SG),579.0,25.0,600.0,0.0,70.0,876.0
